Date : 2022-04-05 17:05:00
Directory : c:\Users\wadan\Desktop\Man-Brother-s-Poker
Total : 90 files,  8866 codes, 570 comments, 1574 blanks, all 11010 lines

Languages
+-----------+------------+------------+------------+------------+------------+
| language  | files      | code       | comment    | blank      | total      |
+-----------+------------+------------+------------+------------+------------+
| C#        |         61 |      3,419 |        466 |        880 |      4,765 |
| XML       |          4 |      2,086 |         22 |          3 |      2,111 |
| ShaderLab |         13 |      2,011 |         61 |        559 |      2,631 |
| JSON      |          3 |        551 |          0 |          4 |        555 |
| Log       |          5 |        476 |          0 |         41 |        517 |
| HLSL      |          4 |        323 |         21 |         87 |        431 |
+-----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                     | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                        |         90 |      8,866 |        570 |      1,574 |     11,010 |
| Assets                                                                                                                   |         80 |      5,914 |        549 |      1,528 |      7,991 |
| Assets\Editor                                                                                                            |          1 |         40 |          0 |         18 |         58 |
| Assets\GameAssets                                                                                                        |          1 |         17 |          0 |          6 |         23 |
| Assets\GameAssets\Beautiful Progress Bar Free - CYKO                                                                     |          1 |         17 |          0 |          6 |         23 |
| Assets\GameAssets\Beautiful Progress Bar Free - CYKO\Scripts                                                             |          1 |         17 |          0 |          6 |         23 |
| Assets\JsonDotNet                                                                                                        |          1 |          6 |          1 |          0 |          7 |
| Assets\Prefabs                                                                                                           |          6 |        214 |         15 |         55 |        284 |
| Assets\Prefabs\LobbyPanel                                                                                                |          3 |        131 |         13 |         35 |        179 |
| Assets\Prefabs\RoomPanel                                                                                                 |          3 |         83 |          2 |         20 |        105 |
| Assets\Scripts                                                                                                           |         53 |      3,148 |        451 |        801 |      4,400 |
| Assets\Scripts\Editor                                                                                                    |          1 |         17 |          0 |          3 |         20 |
| Assets\Scripts\EnteringSc                                                                                                |         15 |        815 |         95 |        214 |      1,124 |
| Assets\Scripts\EnteringSc\CamPos                                                                                         |          3 |         45 |          0 |         12 |         57 |
| Assets\Scripts\EnteringSc\Invitation                                                                                     |          1 |         72 |          9 |         21 |        102 |
| Assets\Scripts\EnteringSc\Lobby                                                                                          |          4 |        187 |         11 |         42 |        240 |
| Assets\Scripts\EnteringSc\PasswordPanel                                                                                  |          1 |         44 |          5 |         13 |         62 |
| Assets\Scripts\EnteringSc\Room                                                                                           |          1 |        269 |         51 |         72 |        392 |
| Assets\Scripts\GameSc                                                                                                    |         16 |        937 |        120 |        226 |      1,283 |
| Assets\Scripts\GameSc\UI                                                                                                 |         13 |        879 |        111 |        203 |      1,193 |
| Assets\Scripts\GameSc\UI\ButtonInteraction                                                                               |          1 |         16 |          2 |          5 |         23 |
| Assets\Scripts\GameSc\UI\Canvas                                                                                          |          8 |        737 |        108 |        174 |      1,019 |
| Assets\Scripts\GameSc\UI\Canvas\ScreenCanvas                                                                             |          7 |        505 |         60 |        120 |        685 |
| Assets\Scripts\GameSc\UI\Sprite                                                                                          |          2 |         84 |          0 |         14 |         98 |
| Assets\Scripts\GeneralManager                                                                                            |          2 |        406 |        174 |        116 |        696 |
| Assets\Scripts\LoadingSc                                                                                                 |          1 |         43 |          0 |         12 |         55 |
| Assets\Scripts\TitleSc                                                                                                   |          2 |         65 |          7 |         21 |         93 |
| Assets\Scripts\WebSocketScript                                                                                           |          7 |        523 |         40 |        128 |        691 |
| Assets\TextMesh Pro                                                                                                      |         18 |      2,489 |         82 |        648 |      3,219 |
| Assets\TextMesh Pro\Shaders                                                                                              |         17 |      2,334 |         82 |        646 |      3,062 |
| Assets\TextMesh Pro\Sprites                                                                                              |          1 |        155 |          0 |          2 |        157 |
| Logs                                                                                                                     |          5 |        476 |          0 |         41 |        517 |
| Packages                                                                                                                 |          2 |        396 |          0 |          2 |        398 |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------+-----------+------------+------------+------------+------------+
| filename                                                                                                                 | language  | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+-----------+------------+------------+------------+------------+
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assembly-CSharp-Editor.csproj                                                 | XML       |        682 |          7 |          1 |        690 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assembly-CSharp-firstpass.csproj                                              | XML       |        664 |          7 |          1 |        672 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assembly-CSharp.csproj                                                        | XML       |        734 |          7 |          1 |        742 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Editor\MultiplayersBuildAndRun.cs                                      | C#        |         40 |          0 |         18 |         58 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\GameAssets\Beautiful Progress Bar Free - CYKO\Scripts\SliderScripts.cs | C#        |         17 |          0 |          6 |         23 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\JsonDotNet\link.xml                                                    | XML       |          6 |          1 |          0 |          7 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Prefabs\LobbyPanel\PlayerPrefab.cs                                     | C#        |         23 |          0 |          6 |         29 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Prefabs\LobbyPanel\RoomButtonPrefab.cs                                 | C#        |         97 |         13 |         25 |        135 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Prefabs\LobbyPanel\thisPlayerPrefab.cs                                 | C#        |         11 |          0 |          4 |         15 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Prefabs\RoomPanel\InvPanel_P.cs                                        | C#        |         59 |          2 |         14 |         75 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Prefabs\RoomPanel\PlayerPanel_H.cs                                     | C#        |         12 |          0 |          3 |         15 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Prefabs\RoomPanel\PlayerPanel_P.cs                                     | C#        |         12 |          0 |          3 |         15 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\Card.cs                                                        | C#        |         17 |          0 |          4 |         21 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\Editor\EditorScript.cs                                         | C#        |         17 |          0 |          3 |         20 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\EnteringSc\CamPos\GameCamPos.cs                                | C#        |         15 |          0 |          4 |         19 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\EnteringSc\CamPos\LobbyCamPos.cs                               | C#        |         15 |          0 |          4 |         19 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\EnteringSc\CamPos\RoomCamPos.cs                                | C#        |         15 |          0 |          4 |         19 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\EnteringSc\CharacterSelect.cs                                  | C#        |         51 |          7 |         16 |         74 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\EnteringSc\EntPanelController.cs                               | C#        |         63 |          4 |         10 |         77 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\EnteringSc\EnteringSceneUpdater.cs                             | C#        |         44 |          6 |         13 |         63 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\EnteringSc\Invitation\Invitation.cs                            | C#        |         72 |          9 |         21 |        102 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\EnteringSc\Lobby\L_CreatingPanel.cs                            | C#        |         70 |          4 |         17 |         91 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\EnteringSc\Lobby\L_PanelChat.cs                                | C#        |         39 |          1 |          7 |         47 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\EnteringSc\Lobby\L_PlayerPanel.cs                              | C#        |         49 |          4 |         15 |         68 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\EnteringSc\Lobby\L_RoomsPanel.cs                               | C#        |         29 |          2 |          3 |         34 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\EnteringSc\PasswordPanel\PasswordPanel.cs                      | C#        |         44 |          5 |         13 |         62 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\EnteringSc\Room\RoomPanel.cs                                   | C#        |        269 |         51 |         72 |        392 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\EnteringSc\SignUpPanel.cs                                      | C#        |         24 |          1 |          8 |         33 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\EnteringSc\SpaceController.cs                                  | C#        |         16 |          1 |          7 |         24 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\GameSc\CamController.cs                                        | C#        |         26 |          1 |         11 |         38 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\GameSc\GamePanelController.cs                                  | C#        |         12 |          2 |          5 |         19 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\GameSc\GameSceneUpdater.cs                                     | C#        |         20 |          6 |          7 |         33 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\GameSc\UI\ButtonInteraction\ButtonScaler.cs                    | C#        |         16 |          2 |          5 |         23 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\GameSc\UI\Canvas\PlayerCanvas.cs                               | C#        |        232 |         48 |         54 |        334 |
